year,female_parent,male_parent
2021,B73,MO17
2021,LH195,MO17
2021,LH244,PHZ51
2021,B73,PHN82
2021,B73,PHK76
2021,PHG29,PHG47
2021,PHB47,PHZ51
2021,PHB47,PHN82
2021,LH244,MO17
2021,LH195,PHN82
2021,PHB47,PHK76
2021,B73,PHZ51
2021,PHB47,MO17
2021,LH145,LH82
2021,LH244,PHN82
2021,TX714,PHZ51
2021,LH244,PHK76
2021,PHRE1,PHTD5
2021,PHJ40,PHAJ0
2021,PHJ89,PH207
2021,LH195,PHZ51
2021,LH195,PHK76
2021,PHB47,PHK76
2021,LH244,PHZ51
2021,LH195,PHZ51
2021,PHJ40,PHAJ0
2021,LH244,PHK76
2021,PHG29,PHG47
2021,LH244,PHN82
2021,TX714,PHZ51
2021,PHRE1,PHTD5
2021,B73,PHZ51
2021,LH195,PHK76
2021,PHB47,MO17
2021,LH195,MO17
2021,LH145,LH82
2021,PHB47,PHN82
2021,B73,PHN82
2021,PHJ89,PH207
2021,B73,PHK76
2021,LH244,MO17
2021,LH195,PHN82
2021,B73,MO17
2021,PHB47,PHZ51
2021,B73,PHN82
2021,TX714,PHZ51
2021,LH244,PHK76
2021,LH244,PHN82
2021,LH195,PHZ51
2021,PHJ89,PH207
2021,PHB47,PHN82
2021,LH244,PHZ51
2021,LH195,PHK76
2021,B73,PHZ51
2021,LH195,MO17
2021,PHB47,PHK76
2021,PHG29,PHG47
2021,LH195,PHN82
2021,PHRE1,PHTD5
2021,B73,MO17
2021,PHB47,PHZ51
2021,B73,PHK76
2021,LH145,LH82
2021,PHB47,MO17
2021,PHJ40,PHAJ0
2021,LH244,MO17
2021,B73,PHZ51
2021,LH195,PHZ51
2021,LH244,PHK76
2021,PHRE1,PHTD5
2021,PHB47,MO17
2021,B73,PHN82
2021,LH244,PHN82
2021,PHJ89,PH207
2021,PHB47,PHZ51
2021,B73,MO17
2021,B73,PHK76
2021,PHJ40,PHAJ0
2021,LH195,MO17
2021,PHG29,PHG47
2021,LH244,MO17
2021,PHB47,PHK76
2021,LH195,PHK76
2021,PHB47,PHN82
2021,LH145,LH82
2021,LH244,PHZ51
2021,TX714,PHZ51
2021,LH195,PHN82
2021,PHB47,PHK76
2021,PHRE1,PHTD5
2021,LH244,PHK76
2021,LH244,PHZ51
2021,B73,PHK76
2021,LH195,MO17
2021,LH145,LH82
2021,LH244,PHN82
2021,PHG29,PHG47
2021,PHB47,PHN82
2021,LH195,PHK76
2021,PHJ89,PH207
2021,PHJ40,PHAJ0
2021,B73,MO17
2021,LH195,PHZ51
2021,PHB47,PHZ51
2021,LH195,PHN82
2021,B73,PHZ51
2021,TX714,PHZ51
2021,LH244,MO17
2021,B73,PHN82
2021,PHB47,MO17
2021,PHJ40,PHAJ0
2021,LH244,PHZ51
2021,B73,PHK76
2021,PHRE1,PHTD5
2021,LH244,MO17
2021,LH195,PHZ51
2021,PHB47,PHN82
2021,PHB47,MO17
2021,PHB47,PHK76
2021,B73,PHN82
2021,LH195,PHK76
2021,B73,MO17
2021,PHG29,PHG47
2021,PHJ89,PH207
2021,LH244,PHK76
2021,TX714,PHZ51
2021,LH195,PHN82
2021,PHB47,PHZ51
2021,LH244,PHN82
2021,B73,PHZ51
2021,LH145,LH82
2021,LH195,MO17
2021,TX777,LH195
2021,W10004_0963,PHZ51
2021,W10004_0856,PHZ51
2021,W10004_1064,PHZ51
2021,W10004_0254,PHZ51
2021,W10004_0624,PHZ51
2021,W10004_0628,PHZ51
2021,W10004_0837,PHZ51
2021,W10004_0099,PHZ51
2021,W10004_0189,PHZ51
2021,W10004_0800,PHZ51
2021,W10004_1052,PHZ51
2021,W10004_0179,PHZ51
2021,W10004_0892,PHZ51
2021,W10004_0848,PHZ51
2021,W10004_0110,PHZ51
2021,B37,OH43
2021,W10004_0684,PHZ51
2021,B14A,MO17
2021,W10004_1118,PHZ51
2021,PB80,TX779
2021,W10004_0703,PHZ51
2021,PHG39,PHN82
2021,W10004_0087,PHZ51
2021,B73,PHN82
2021,W10004_0068,PHZ51
2021,W10004_0200,PHZ51
2021,W10004_0062,PHZ51
2021,W10004_0225,PHZ51
2021,W10004_0736,PHZ51
2021,W10004_0190,PHZ51
2021,W10004_0112,PHZ51
2021,W10004_0412,PHZ51
2021,REDEAR,LH195
2021,W10004_0858,PHZ51
2021,W10004_0410,PHZ51
2021,W10004_0707,PHZ51
2021,W10004_0010,PHZ51
2021,W10004_0034,PHZ51
2021,W10004_0672,PHZ51
2021,W10004_0133,PHZ51
2021,W10004_0149,PHZ51
2021,W10004_1118,PHZ51
2021,W10004_0815,PHZ51
2021,W10004_0918,PHZ51
2021,W10004_0242,PHZ51
2021,W10004_0907,PHZ51
2021,W10004_0852,PHZ51
2021,PHW52,PHM49
2021,W10004_0035,PHZ51
2021,W10004_0264,PHZ51
2021,W10004_0115,PHZ51
2021,W10004_0118,PHZ51
2021,W10004_0465,PHZ51
2021,W10004_0032,PHZ51
2021,W10004_0723,PHZ51
2021,W10004_0276,PHZ51
2021,W10004_0783,PHZ51
2021,W10004_0122,PHZ51
2021,W10004_0832,PHZ51
2021,W10004_0212,PHZ51
2021,W10004_0688,PHZ51
2021,W10004_0886,PHZ51
2021,W10004_0773,PHZ51
2021,W10004_1140,PHZ51
2021,W10004_1032,PHZ51
2021,W10004_0626,PHZ51
2021,W10004_0168,PHZ51
2021,W10004_0678,PHZ51
2021,W10004_0687,PHZ51
2021,W10004_0712,PHZ51
2021,W10004_0071,PHZ51
2021,W10004_0827,PHZ51
2021,W10004_0129,PHZ51
2021,W10004_0127,PHZ51
2021,W10004_1146,PHZ51
2021,W10004_0381,PHZ51
2021,W10004_0955,PHZ51
2021,W10004_0072,PHZ51
2021,W10004_1011,PHZ51
2021,W10004_0063,PHZ51
2021,W10004_0971,PHZ51
2021,W10004_0196,PHZ51
2021,W10004_0697,PHZ51
2021,W10004_0981,PHZ51
2021,W10004_0018,PHZ51
2021,W10004_0192,PHZ51
2021,B73,TX779
2021,F42,OH43
2021,W10004_0734,PHZ51
2021,F42,H95
2021,B73,PHM49
2021,B14A,H95
2021,W10004_0069,PHZ51
2021,W10004_0856,PHZ51
2021,W10004_0224,PHZ51
2021,W10004_0256,PHZ51
2021,W10004_1045,PHZ51
2021,W10004_0007,PHZ51
2021,W10004_0013,PHZ51
2021,W10004_0602,PHZ51
2021,W10004_0467,PHZ51
2021,W10004_0292,PHZ51
2021,W10004_0784,PHZ51
2021,W10004_0424,PHZ51
2021,W10004_0097,PHZ51
2021,W10004_0950,PHZ51
2021,W10004_0311,PHZ51
2021,W10004_0823,PHZ51
2021,B14A,OH43
2021,W10004_0991,PHZ51
2021,W10004_0787,PHZ51
2021,W10004_0826,PHZ51
2021,W10004_0801,PHZ51
2021,W10004_0308,PHZ51
2021,W10004_0984,PHZ51
2021,TX779,LH195
2021,W10004_1001,PHZ51
2021,W10004_0771,PHZ51
2021,W10004_0713,PHZ51
2021,W10004_0185,PHZ51
2021,W10004_0166,PHZ51
2021,W10004_0011,PHZ51
2021,W10004_0213,PHZ51
2021,W10004_0614,PHZ51
2021,W10004_0042,PHZ51
2021,W10004_0417,PHZ51
2021,W10004_0231,PHZ51
2021,W10004_0065,PHZ51
2021,W10004_0098,PHZ51
2021,PHW52,PHN82
2021,W10004_0691,PHZ51
2021,LH74,PHN82
2021,W10004_0711,PHZ51
2021,W10004_0807,PHZ51
2021,W10004_0820,PHZ51
2021,B37,H95
2021,2369,LH123HT
2021,W10004_0673,PHZ51
2021,W10004_1037,PHZ51
2021,W10004_0601,PHZ51
2021,W10004_1080,PHZ51
2021,W10004_0241,PHZ51
2021,W10004_0650,PHZ51
2021,W10004_0138,PHZ51
2021,W10004_0261,PHZ51
2021,W10004_0746,PHZ51
2021,W10004_0745,PHZ51
2021,W10004_0701,PHZ51
2021,W10004_0327,PHZ51
2021,CG44,CGR01
2021,W10004_0171,PHZ51
2021,W10004_0794,PHZ51
2021,W10004_0498,PHZ51
2021,W10004_0997,PHZ51
2021,W10004_0916,PHZ51
2021,W10004_0380,PHZ51
2021,W10004_0501,PHZ51
2021,LH82,TX779
2021,F42,MO17
2021,CG119,CG108
2021,W10004_0869,PHZ51
2021,W10004_1057,PHZ51
2021,W10004_0086,PHZ51
2021,W10004_0344,PHZ51
2021,W10004_0221,PHZ51
2021,TX773,TX779
2021,W10004_0877,PHZ51
2021,W10004_0705,PHZ51
2021,W10004_0217,PHZ51
2021,W10004_0268,PHZ51
2021,W10004_0802,PHZ51
2021,W10004_0843,PHZ51
2021,W10004_0238,PHZ51
2021,W10004_0842,PHZ51
2021,W10004_0093,PHZ51
2021,LH195,TX779
2021,W10004_0928,PHZ51
2021,W10004_0840,PHZ51
2021,W10004_0975,PHZ51
2021,W10004_0702,PHZ51
2021,W10004_0844,PHZ51
2021,W10004_0674,PHZ51
2021,W10004_0639,PHZ51
2021,W10004_0727,PHZ51
2021,W10004_0799,PHZ51
2021,W10004_0866,PHZ51
2021,W10004_0227,PHZ51
2021,W10004_0894,PHZ51
2021,W10004_0236,PHZ51
